station,lon,lat
MCD_7850,-104.02,30.68
MEDICINA,11.649999999999977,44.52
METSAHOV,24.379999999999995,60.24
MIAMI20,-80.38,25.61
MILESMON,-105.86,46.4
MIURA,139.65,35.21
MIYAZAKI,131.48,32.09
MIZNAO10,141.13,39.13
MIZUSGSI,141.2,39.11
MK-VLBA,-155.46,19.8
MOJ_7288,-116.89,35.33
MOJAVE12,-116.89,35.33
MON_PEAK,-116.42,32.89
MOPRA,149.1,-31.27
MV2ONSLA,11.930000000000007,57.4
NL-VLBA,-91.57,41.77
NOBEY_6M,138.47,35.94
NOBEYA45,138.47,35.94
NOME,-165.37,64.56
NOTO,14.990000000000009,36.88
NRAO_140,-79.84,38.44
NRAO20,-79.83,38.44
NRAO85_1,-79.83,38.44
NRAO85_3,-79.84,38.43
NYALE13S,11.850000000000023,78.94
NYALE13N,11.850000000000023,78.94
NYALES20,11.870000000000005,78.93
OCOTILLO,-115.8,32.79
OHIGGINS,-57.9,-63.32
ONSA13NE,11.920000000000016,57.39
ONSA13SW,11.920000000000016,57.39
ONSALA60,11.930000000000007,57.4
ONSALA85,11.920000000000016,57.39
OVR_7853,-118.29,37.23
OVRO_130,-118.28,37.23
OV-VLBA,-118.28,37.23
PARKES,148.26,-33.0
PBLOSSOM,-117.92,34.51
PENTICTN,-119.62,49.32
PIETOWN,-108.12,34.3
PINFLATS,-116.46,33.61
PLATTVIL,-104.73,40.18
PRESIDIO,-122.46,37.81
PT_REYES,-122.94,38.1
PVERDES,-118.4,33.74
QUABBIN,-72.34,42.39
QUINCY,-120.94,39.97
RAEGSMAR,-25.13,36.99
RAEGYEB,-3.09,40.52
RICHMOND,-80.38,25.61
ROBLED32,-4.25,40.43
SAGARA,138.18,34.68
SANPAULA,-119.0,34.39
SANTIA12,-70.67,-33.15
SC-VLBA,-64.58,17.76
SEATTLE1,-122.25,47.69
SEJONG,127.3,36.52
SESHAN25,121.19999999999999,31.1
SEST,-70.73,-29.26
SHANGHAI,121.43,31.19
SINTOTU3,141.84,43.53
SINTOTU,141.84,43.53
SNDPOINT,-160.48,55.35
SOURDOGH,-145.48,62.66
SVETLOE,29.779999999999973,60.53
SYOWA,39.579999999999984,-69.01
TATEYAMA,139.65,35.21
TIANMA65,121.13999999999999,31.09
TIDBIN64,148.98,-35.4
TIGOCONC,-73.04,-36.82
TIGOWTZL,12.879999999999995,49.15
TITIJIMA,142.19,27.1
TORUN,18.560000000000002,53.1
TOULOUSE,1.4800000000000182,43.56
TROMSONO,18.939999999999998,69.66
TRYSILNO,12.379999999999995,61.42
TSUKUB32,140.09,36.11
TSUKUBA,140.09,36.11
UCHINOUR,131.08,31.25
URUMQI,87.18,43.47
USSURISK,131.76,44.02
USUDA64,138.36,36.13
VERAISGK,124.13,24.4
VERAMZSW,141.13,39.13
VERNAL,-109.57,40.33
VICTORIA,-123.49,48.39
VLA,-107.62,34.08
VNDNBERG,-120.62,34.56
WARK12M,174.83,-36.6
WESTBRK0,6.589999999999975,52.92
WESTFORD,-71.49,42.61
WETTZ13N,12.879999999999995,49.15
WETTZ13S,12.879999999999995,49.15
WETTZELL,12.879999999999995,49.15
WHTHORSE,-135.08,60.71
WSTRBORK,6.6299999999999955,52.92
YAKATAGA,-142.49,60.08
YARRA12M,115.35,-29.05
YEBES40M,-3.09,40.52
YELLOWKN,-114.47,62.48
YLOW7296,-114.48,62.48
YUMA,-114.2,32.94
ZELENCHK,41.56999999999999,43.79
